#编号,名称(备注),显示名称,到达地图,到达地图X,到达地图Y,到达范围,传送点类型,是否显示,出发地图,出发地图X,出发地图Y,怪物等级,传送点外观
#id,,,,,,,0到达1连接2NPC3怪物,,,,,,
,,,,,,,,,,,,,
#0,(传送点数: 25),,,,,,,,,,,,
4010001,null,null,xinshou,51,112,2,0,0,0,0,0,0,0
4010002,null,null,biqi,41,43,2,0,0,0,0,0,0,0
4010003,null,null,tucheng,55,27,2,0,0,0,0,0,0,0
4010004,null,null,kingcity,80,87,2,0,0,0,0,0,0,0
4010005,null,null,kuangdong1,24,55,1,0,0,0,0,0,0,0
4010006,null,null,dusheshangu1,14,57,1,0,0,0,0,0,0,0
4010007,null,null,siwangshangu1,10,122,1,0,0,0,0,0,0,0
4010008,null,null,shamo1,16,62,1,0,0,0,0,0,0,0
4010009,null,null,zhudong1,67,89,1,0,0,0,0,0,0,0
4010010,null,null,womasimiao1,54,87,1,0,0,0,0,0,0,0
4010011,null,null,zumasimiao1,76,118,1,0,0,0,0,0,0,0
4010012,null,null,chiyue1,39,60,1,0,0,0,0,0,0,0
4010013,null,null,niumosimiao1,72,94,1,0,0,0,0,0,0,0
4010014,null,null,shourenchaoxue1,14,32,1,0,0,0,0,0,0,0
4010015,null,null,mayidongxue1,6,14,1,0,0,0,0,0,0,0
4010016,null,null,manhuangdigong1,7,53,1,0,0,0,0,0,0,0
4010017,null,null,leiyan1,10,18,1,0,0,0,0,0,0,0
4010018,null,null,miwuzhaoze1,64,114,1,0,0,0,0,0,0,0
4010019,null,null,huangling1,14,52,1,0,0,0,0,0,0,0
4010020,null,null,haidi1,54,48,1,0,0,0,0,0,0,0
4010021,null,null,gjpt,43,43,3,0,0,0,0,0,0,0
4010022,null,null,gjvip1,43,43,3,0,0,0,0,0,0,0
4010023,null,null,gjvip2,43,43,3,0,0,0,0,0,0,0
4010024,null,null,gjvip3,43,43,3,0,0,0,0,0,0,0
4010025,null,null,gjvip4,43,43,3,0,0,0,0,0,0,0
4010026,null,null,diyulaolong1,17,77,2,0,0,0,0,0,0,0
,,,,,,,,,,,,,
#比奇城,(传送点数: 2),,,,,,,,,,,,
1030001,null,盟重,tucheng,4,57,1,1,0,biqi,80,6,0,70001
1030002,null,毒蛇山谷一层,dusheshangu1,14,57,1,1,0,biqi,81,83,0,70001
